x,y,theta,counter,x_d,y_d,theta_d,v,w,mean_v,state_cost,min_Traj_cost,t_mppi
-5.03953170345088,-8.1385688076988,44.74696808657661,1,-0.09067265689373016,-7.6951069831848145,5.1205356179242605,-0.006453442387282848,-0.08727499842643738,0.021517077460885048,76.06946366046135,421.2008056640625,0.14853906631469727
-5.03951436745117,-8.138551346345986,44.74710106983707,1,-0.09067265689373016,-7.6951069831848145,5.1203529103639625,-0.026468122377991676,-0.1522328406572342,0.03522660583257675,76.0692246189441,394.04547119140625,0.010226249694824219
-5.039511891116007,-8.138548852099113,44.74712006526811,1,-0.09067265689373016,-7.6951069831848145,5.1203268702677525,0.08308161795139313,-0.21881866455078125,0.04978213831782341,76.06919043116616,372.4183654785156,0.007725238800048828
-5.0395062363400145,-8.138542626641149,44.74686080135693,1,-0.09067265689373016,-7.6951069831848145,5.120261129696991,0.1387125700712204,-0.26056721806526184,0.07457271218299866,76.0688965443072,351.6622009277344,0.007932901382446289
-5.039432799059944,-8.138463996641358,44.74310282714698,1,-0.09067265689373016,-7.6951069831848145,5.11943339614695,0.2261328250169754,-0.32073208689689636,0.10059697926044464,76.0647829228445,334.5497741699219,0.00791025161743164
-5.039359479642224,-8.138379377428924,44.73522950607695,1,-0.09067265689373016,-7.6951069831848145,5.118536933818386,0.2896772623062134,-0.32391998171806335,0.1406393051147461,76.05772894915582,314.70904541015625,0.008835315704345703
-5.039240183919556,-8.138243756856758,44.724324839559294,1,-0.09067265689373016,-7.6951069831848145,5.11710216720586,0.28792762756347656,-0.38709190487861633,0.16094925999641418,76.04762055211367,300.9591064453125,0.0059661865234375
-5.038312288589418,-8.137281031838763,44.70858695768386,1,-0.09067265689373016,-7.6951069831848145,5.106996475442003,0.3285221457481384,-0.4071098864078522,0.19462299346923828,76.01845629447685,286.49322509765625,0.00997471809387207
-5.035842143941391,-8.134836473360672,44.70848714951701,1,-0.09067265689373016,-7.6951069831848145,5.081434065586407,0.3399488925933838,-0.44845646619796753,0.22923754155635834,75.97041071630333,271.2307434082031,0.007340192794799805
-5.034519196140296,-8.13352696617291,44.7083933617528,1,-0.09067265689373016,-7.6951069831848145,5.067729291016776,0.3367098271846771,-0.4687812328338623,0.26189181208610535,75.94468888900693,256.2618408203125,0.006787300109863281
-5.030894826893147,-8.129939373286783,44.70810990440464,1,-0.09045994281768799,-7.695187091827393,5.029004679743743,0.4421265423297882,-0.4752366542816162,0.2915980815887451,75.88024281771509,242.75796508789062,0.006257295608520508
-5.025903846779252,-8.124998023372529,44.6730535109064,1,-0.09045994281768799,-7.695187091827393,4.977136650073489,0.5692837834358215,-0.4926627576351166,0.3273664712905884,75.75853142152755,227.668701171875,0.00615382194519043
-5.025903846779252,-8.124998023372529,44.6730535109064,1,-0.09045994281768799,-7.695187091827393,4.977136650073489,0.6453186273574829,-0.5090305209159851,0.3538680672645569,75.75853142152755,215.66505432128906,0.006090641021728516
-5.015163926812521,-8.114412819255849,44.66274407789453,1,-0.09045994281768799,-7.695187091827393,4.865692295367799,0.7103530168533325,-0.5040687322616577,0.38039350509643555,75.54478964866287,202.19700622558594,0.0061206817626953125
-4.9986840122100835,-8.098132003652085,44.65995014552251,1,-0.09045994281768799,-7.695187091827393,4.693221907975338,0.8001298308372498,-0.5501909852027893,0.40087050199508667,75.22989217928783,190.3737335205078,0.006076812744140625
-4.991761400805033,-8.091296575366624,44.63412080464902,1,-0.09045994281768799,-7.695187091827393,4.620442827274267,0.8728604316711426,-0.5822619199752808,0.4263477027416229,75.08078434242978,179.96839904785156,0.006662130355834961
-4.976414784519548,-8.076347041498185,44.49813568327271,1,-0.09045994281768799,-7.695187091827393,4.460686837021784,0.9169293642044067,-0.6162465214729309,0.44386088848114014,74.69362119193579,169.99903869628906,0.00787973403930664
-4.95910383584889,-8.059539704747207,44.34214038613794,1,-0.09045994281768799,-7.695187091827393,4.279841783933241,0.9854267239570618,-0.6361240744590759,0.47157666087150574,74.25833245135937,160.6904754638672,0.00746917724609375
-4.940773007387973,-8.041707061186685,44.19523487446272,1,-0.09045994281768799,-7.695187091827393,4.086428328998228,1.026526927947998,-0.6868930459022522,0.491441547870636,73.81532310918082,151.40435791015625,0.006890535354614258
-4.921887989549523,-8.023122182616545,44.23414537490954,1,-0.09045994281768799,-7.695187091827393,3.883018038439255,1.0902342796325684,-0.7920257449150085,0.5180908441543579,73.50506163602651,141.59756469726562,0.006383657455444336
-4.901686785209681,-8.003428646582774,44.209945580075484,1,-0.09045994281768799,-7.695187091827393,3.6657667964140748,1.0931494235992432,-0.8447429537773132,0.541127622127533,73.1294730168049,132.63990783691406,0.00606536865234375
-4.880545175287692,-7.982825293614289,44.154952251005724,1,-0.09045994281768799,-7.695187091827393,3.436408403754812,1.1500518321990967,-0.8677437901496887,0.5636820197105408,72.72079942529324,125.15233612060547,0.007064104080200195
-4.84681464711611,-7.950171243353638,43.54836729470146,0,4.0,4.0,53.48713514725065,1.2336786985397339,-0.803102970123291,0.5797262191772461,553.5845004606185,2772.7314453125,0.007580280303955078
-4.84681464711611,-7.950171243353638,43.54836729470146,0,4.0,4.0,53.48713514725065,1.2555447816848755,-0.841131329536438,0.5974223017692566,553.5845004606185,2750.226806640625,0.010799169540405273
-4.79289971078187,-7.9012477653622435,41.75437215705968,0,4.0,4.0,53.54220812213572,1.272904634475708,-0.8698469996452332,0.6078218817710876,548.6567850722539,2723.745849609375,0.008444786071777344
-4.763956997578661,-7.875458041262147,40.64104813337931,0,4.0,4.0,53.5730837022791,1.222413182258606,-0.8949244022369385,0.6147394776344299,546.1119189368982,2702.96435546875,0.007785797119140625
-4.735884850215018,-7.850013877891206,39.67380426166996,0,4.0,4.0,53.60218920202561,1.2574787139892578,-0.8651526570320129,0.6284664869308472,543.6191550897792,2670.568603515625,0.03136849403381348
-4.708542675771103,-7.824799045867913,38.61219401138866,0,4.0,4.0,53.629679212855024,1.3160312175750732,-0.8294081091880798,0.6487551331520081,541.2224340719741,2642.762939453125,0.006667375564575195
-4.708542675771103,-7.824799045867913,38.61219401138866,0,4.0,4.0,53.629679212855024,1.2857309579849243,-0.855656623840332,0.6619073748588562,541.2224340719741,2623.068115234375,0.007195949554443359
-4.679094929678085,-7.799133444075186,37.70083242725027,0,4.0,4.0,53.66289557703073,1.3048033714294434,-0.8802587985992432,0.6696177124977112,538.6939780333977,2596.78466796875,0.007944583892822266
-4.6478469321774964,-7.772740865251847,36.561326423474746,0,4.0,4.0,53.70028758302458,1.2617864608764648,-0.9222099184989929,0.688084065914154,536.1410961928116,2567.2021484375,0.009037494659423828
-4.598534422757682,-7.731753586221847,33.955893585709944,0,4.0,4.0,53.761255570435345,1.2533422708511353,-0.8896082639694214,0.6984291672706604,532.5066981527758,2536.89013671875,0.010164976119995117
-4.548076264698576,-7.690760689027416,30.7929489849134,0,4.0,4.0,53.82639273359929,1.2581768035888672,-0.852074146270752,0.7123755812644958,529.2070807781763,2506.537841796875,0.008688688278198242
-4.531008901138647,-7.677734075346443,29.623635396552732,0,4.0,4.0,53.85051466585181,1.3448855876922607,-0.8431105613708496,0.7358577251434326,528.232744810384,2478.024169921875,0.0101318359375
-4.495908735808106,-7.65282224556758,27.361044233128318,0,4.0,4.0,53.90473629582952,1.3472896814346313,-0.8200665712356567,0.7409563064575195,526.3605356595149,2447.442138671875,0.009029388427734375
-4.4577989082040235,-7.628509812412725,25.188186801146337,0,4.0,4.0,53.97036804894367,1.3375083208084106,-0.7887387275695801,0.7539480328559875,524.4619867388718,2400.1650390625,0.0066068172454833984
-4.418056132155214,-7.605276193262023,23.025055741936733,0,4.0,4.0,54.04419899204241,1.3368016481399536,-0.8025882840156555,0.7575613260269165,522.6582313198797,2380.203857421875,0.006607532501220703
-4.377960844768307,-7.583811009756546,20.87246402479671,0,4.0,4.0,54.12376406565939,1.3497865200042725,-0.7471432685852051,0.7754794359207153,521.0412615160138,2351.602294921875,0.009211301803588867
-4.377960844768307,-7.583811009756546,20.87246402479671,0,4.0,4.0,54.12376406565939,1.3666661977767944,-0.7267634868621826,0.7733147740364075,521.0412615160138,2341.966064453125,0.007147073745727539
-4.316967738385734,-7.554561593324027,17.56669870417962,0,4.0,4.0,54.253678930572455,1.2777910232543945,-0.694946825504303,0.7791358828544617,518.9994679416243,2313.671875,0.029738426208496094
-4.252837740501492,-7.5288044579720195,14.464975254227895,0,4.0,4.0,54.40320558962442,1.2511508464813232,-0.5867332220077515,0.7892295122146606,517.1331698426737,2284.79833984375,0.007972002029418945
-4.230905801589463,-7.521073557808308,13.50734060927735,0,4.0,4.0,54.45716058369728,1.2196645736694336,-0.5698927044868469,0.7904938459396362,516.5316422422394,2268.877197265625,0.006339073181152344
-4.188772135508046,-7.50781058830466,11.894280518071364,0,4.0,4.0,54.56495964392966,1.271960973739624,-0.531333327293396,0.8306597471237183,515.3535358903176,2243.68701171875,0.00646209716796875
-4.148477899521106,-7.496305382515212,10.359581942031026,0,4.0,4.0,54.6713285917644,1.2767935991287231,-0.5367652177810669,0.8275594115257263,514.35059522959,2225.780029296875,0.007451057434082031
-4.107694500943285,-7.486198286823033,8.99826851645088,0,4.0,4.0,54.78310676921891,1.2871344089508057,-0.4768843650817871,0.8206959962844849,513.3252939192794,2205.8408203125,0.012171745300292969
-4.0663659678864,-7.477448623621728,7.852285241762797,0,4.0,4.0,54.90040107881826,1.3011195659637451,-0.4558144509792328,0.8135416507720947,512.2235671759679,2198.12255859375,0.009001970291137695
-4.002618035159684,-7.465764705611086,6.17085511245113,0,4.0,4.0,55.0865912912316,1.3466150760650635,-0.4280419945716858,0.8159878849983215,510.63033229733946,2188.177490234375,0.007580995559692383
-3.958244551132369,-7.458657900219205,4.954774439344427,0,4.0,4.0,55.21932418312368,1.3540669679641724,-0.37606707215309143,0.8182486891746521,509.67494846360216,2163.011474609375,0.02662491798400879
-3.912351618840355,-7.452598158413472,3.862943364902215,0,4.0,4.0,55.360246413049346,1.3324246406555176,-0.404384046792984,0.8311757445335388,508.6533898569911,2145.25244140625,0.011211633682250977
-3.866486639293719,-7.447637697634549,2.8792592293446546,0,4.0,4.0,55.50427240764076,1.334131121635437,-0.3646358251571655,0.8293970823287964,507.63320372857106,2116.35888671875,0.010690927505493164
-3.866486639293719,-7.447637697634549,2.8792592293446546,0,4.0,4.0,55.50427240764076,1.4111974239349365,-0.3495883047580719,0.8206705451011658,507.63320372857106,2111.562255859375,0.006448507308959961
-3.821512343902954,-7.443359026117719,1.820869502467499,0,4.0,4.0,55.64747382299081,1.3912359476089478,-0.3274955749511719,0.8126491904258728,506.79337483233616,2093.318115234375,0.007052898406982422
-3.7761198189776324,-7.440250452025287,0.9226909407805366,0,4.0,4.0,55.79543124462489,1.3808996677398682,-0.2954317033290863,0.8051962852478027,505.88467723775454,2086.6337890625,0.005919456481933594
-3.705488421464633,-7.4372750209737575,-0.20151914383603936,0,4.0,4.0,56.03117481453462,1.3735955953598022,-0.2643783390522003,0.7977323532104492,504.36159661668603,2080.172607421875,0.006159782409667969
-3.6349906182549825,-7.435588731358208,-1.3576677815583866,0,4.0,4.0,56.27087634718575,1.3794200420379639,-0.2448231279850006,0.7959014177322388,503.0139106541959,2074.602294921875,0.007516145706176758
-3.6115956342962825,-7.4354258791335495,-1.7017342905666324,0,4.0,4.0,56.35165235679645,1.3801695108413696,-0.1987408697605133,0.7887164354324341,502.56199240352095,2051.680419921875,0.00749516487121582
-3.5881167863229697,-7.435446863620907,-2.0244111321197686,0,4.0,4.0,56.43329864901812,1.3864268064498901,-0.18444053828716278,0.7850020527839661,502.10151161968656,2068.053466796875,0.0077474117279052734
-3.5411477312113133,-7.435907154886998,-2.6603047376454794,0,4.0,4.0,56.59805743606295,1.375388741493225,-0.16476970911026,0.7774108052253723,501.212614782126,2040.22216796875,0.0071048736572265625
-3.4707187671340294,-7.4379821482283,-3.409025943953186,0,4.0,4.0,56.849436038586425,1.3765977621078491,-0.14088675379753113,0.798375129699707,499.78041339603897,2021.2044677734375,0.007353067398071289
-3.4005213099730764,-7.441185225149398,-4.014604122384081,0,4.0,4.0,57.103930686775996,1.3803837299346924,-0.07765397429466248,0.790826141834259,498.307812940327,1996.2977294921875,0.010651111602783203
-3.377098735729462,-7.442447612442769,-4.189454386375659,0,4.0,4.0,57.18958397539735,1.3829935789108276,-0.04274272918701172,0.7832485437393188,497.8063280807701,1987.7625732421875,0.010394573211669922
-3.330190485762632,-7.445518070736134,-4.392596619961002,0,4.0,4.0,57.362794627396894,1.3938772678375244,-0.039861924946308136,0.7904090285301208,496.68078383788077,1993.366455078125,0.011482954025268555
-3.283198566269473,-7.44891006149935,-4.5020611631434315,0,4.0,4.0,57.537611977007764,1.3861557245254517,-0.01803617924451828,0.7827522158622742,495.47975929554764,1955.681640625,0.008192777633666992
-3.235883231547551,-7.452468649076653,-4.593751467904261,0,4.0,4.0,57.71453919088617,1.391152024269104,0.01768362708389759,0.775097131729126,494.2713079729768,1945.5264892578125,0.008930206298828125
